;DMP_0.5;DMP_0.51;DMP_0.52;DMP_0.53;DMP_0.54;DMP_0.55;DMP_0.56;DMP_0.57;DMP_0.58;DMP_0.59;DMP_0.6;DMP_0.61;DMP_0.62;DMP_0.63;DMP_0.64;DMP_0.65;DMP_0.66;DMP_0.67;DMP_0.68;DMP_0.69;DMP_0.7;DMP_0.71;DMP_0.72;DMP_0.73;DMP_0.74;DMP_0.75;DMP_0.76;DMP_0.77;DMP_0.78;DMP_0.79;DMP_0.8;DMP_0.81;DMP_0.82;DMP_0.83;DMP_0.84;DMP_0.85;DMP_0.86;DMP_0.87;DMP_0.88;DMP_0.89;DMP_0.9;DMP_0.91;DMP_0.92;DMP_0.93;DMP_0.94;DMP_0.95;DMP_0.96;DMP_0.97;DMP_0.98
10;0,130203;0,150183;0,133866;0,136197;0,133866;0,138861;0,162837;0,157176;0,134199;0,129204;0,135531;0,137529;0,141525;0,144522;0,132201;0,167499;0,124875;0,136863;0,139527;0,131535;0,144522;0,152181;0,132534;0,140526;0,125874;0,138861;0,139194;0,128538;0,151848;0,171495;0,174159;0,175824;0,145188;0,160839;0,155511;0,141192;0,179154;0,138861;0,165834;0,140859;0,160173;0,128538;0,170496;0,172827;0,154845;0,152514;0,132867;0,14985;0,137529
20;0,065134;0,070798;0,064968;0,069632;0,064634;0,0658;0,063968;0,061136;0,063302;0,072131;0,070965;0,069965;0,068133;0,066633;0,073963;0,063468;0,077628;0,0673;0,065301;0,069798;0,0673;0,070298;0,065301;0,068299;0,074796;0,069132;0,067633;0,066967;0,065134;0,068466;0,075296;0,0673;0,070465;0,073796;0,075629;0,075129;0,071298;0,073796;0,076962;0,080626;0,070465;0,086957;0,078961;0,090621;0,082625;0,070132;0,079127;0,076795;0,068466
30;0,042652;0,04343;0,047762;0,044652;0,042875;0,047429;0,04343;0,045985;0,041653;0,044652;0,04343;0,044652;0,043763;0,042541;0,044874;0,045096;0,041542;0,047318;0,048873;0,046207;0,050094;0,04343;0,050317;0,054648;0,049095;0,046318;0,047873;0,044874;0,04443;0,04754;0,04554;0,050539;0,048762;0,048095;0,045985;0,047984;0,050539;0,043319;0,046873;0,048206;0,051983;0,051094;0,042541;0,047095;0,047762;0,050539;0,049761;0,048095;0,053649
40;0,030576;0,032325;0,033825;0,032492;0,033408;0,032075;0,034741;0,032075;0,030659;0,032492;0,029909;0,032159;0,032825;0,033158;0,033492;0,030492;0,032908;0,033492;0,034741;0,035491;0,032575;0,033742;0,033658;0,033492;0,036991;0,034575;0,034575;0,035325;0,034491;0,033575;0,036574;0,033658;0,032659;0,034325;0,036241;0,033242;0,036907;0,035241;0,032908;0,035241;0,032742;0,034741;0,035574;0,034325;0,035408;0,033242;0,035075;0,034825;0,033742
50;0,025195;0,024328;0,025062;0,025928;0,024395;0,024662;0,026728;0,028661;0,025128;0,027195;0,025528;0,024662;0,023795;0,026261;0,024662;0,025928;0,026928;0,026328;0,026261;0,026928;0,025195;0,026061;0,026528;0,027261;0,025795;0,026661;0,029194;0,031194;0,026461;0,030261;0,029327;0,026395;0,027195;0,025528;0,026595;0,028661;0,026595;0,029128;0,029194;0,027994;0,029861;0,028061;0,03266;0,029727;0,027061;0,027061;0,027861;0,027928;0,029394
60;0,02083;0,02083;0,020941;0,021219;0,020774;0,020552;0,020552;0,02083;0,02083;0,02133;0,023774;0,02133;0,02033;0,021052;0,021496;0,02233;0,023218;0,020719;0,021163;0,021941;0,022885;0,023218;0,023663;0,02283;0,021163;0,026273;0,021608;0,022663;0,022219;0,023663;0,023496;0,024551;0,023996;0,022552;0,023552;0,023218;0,024107;0,024607;0,025162;0,022052;0,023329;0,022163;0,022941;0,026218;0,023163;0,02183;0,026218;0,023829;0,023829
70;0,018569;0,017188;0,018426;0,017426;0,018474;0,018616;0,018093;0,018045;0,017569;0,018712;0,018045;0,019188;0,018045;0,017283;0,018093;0,018902;0,018664;0,017664;0,019616;0,019426;0,017569;0,020283;0,018664;0,017712;0,018474;0,018283;0,020092;0,018997;0,019283;0,018474;0,018331;0,019426;0,019902;0,019045;0,01995;0,020045;0,019759;0,021187;0,021902;0,02014;0,020949;0,019473;0,020092;0,019235;0,021568;0,022235;0,02033;0,020711;0,021521
80;0,014748;0,01554;0,015415;0,01654;0,01629;0,01504;0,01704;0,015415;0,01579;0,014831;0,016081;0,017831;0,016206;0,016165;0,01604;0,016373;0,015623;0,015123;0,01504;0,019248;0,01579;0,018914;0,016415;0,017748;0,015581;0,016915;0,016915;0,016956;0,015998;0,015956;0,015581;0,018623;0,017456;0,016248;0,021539;0,017331;0,01679;0,017456;0,018706;0,016373;0,017914;0,01654;0,016831;0,017165;0,017414;0,017331;0,021039;0,017165;0,017498
90;0,013517;0,013406;0,013887;0,013665;0,013739;0,013332;0,013665;0,014332;0,014628;0,013998;0,014147;0,013665;0,015221;0,014887;0,014035;0,014702;0,013887;0,014924;0,014221;0,014517;0,01411;0,013961;0,014295;0,014258;0,014258;0,014221;0,015702;0,013887;0,014443;0,015443;0,016183;0,014035;0,014517;0,01485;0,013887;0,013998;0,014924;0,014924;0,014924;0,015591;0,016628;0,015072;0,014887;0,014887;0,015517;0,016517;0,016035;0,014776;0,01648
100;0,012265;0,012999;0,012432;0,012865;0,012365;0,012932;0,012532;0,012965;0,012799;0,012765;0,013499;0,013599;0,012332;0,012299;0,013065;0,013632;0,012499;0,012499;0,012132;0,012765;0,012565;0,013765;0,013099;0,012799;0,014865;0,013465;0,014032;0,013199;0,012665;0,014132;0,013865;0,014632;0,014665;0,013799;0,013165;0,013999;0,012799;0,013699;0,014199;0,013432;0,014265;0,013965;0,013832;0,014099;0,013632;0,014799;0,014732;0,013899;0,014332
